site_id,name,datetime,data_type,parameter_id,parameter,value,unit_of_measurement,quality,resolution,date,year,month,weekday,hour,period
229143,YARRA @ CHANDLER HWY,1991-01-08T13:50:00Z,Quality,210,pH,7.1,pH,65,Raw Data,1991-01-08T13:50:00Z,1991,Jan,Tue,13,1990s
229143,YARRA @ CHANDLER HWY,1991-02-12T09:35:00Z,Quality,210,pH,7,pH,65,Raw Data,1991-02-12T09:35:00Z,1991,Feb,Tue,9,1990s
229143,YARRA @ CHANDLER HWY,1991-03-12T14:00:00Z,Quality,210,pH,6.2,pH,65,Raw Data,1991-03-12T14:00:00Z,1991,Mar,Tue,14,1990s
229143,YARRA @ CHANDLER HWY,1991-04-09T11:00:00Z,Quality,210,pH,6.7,pH,65,Raw Data,1991-04-09T11:00:00Z,1991,Apr,Tue,11,1990s
229143,YARRA @ CHANDLER HWY,1991-05-07T11:10:00Z,Quality,210,pH,7.7,pH,65,Raw Data,1991-05-07T11:10:00Z,1991,May,Tue,11,1990s
229143,YARRA @ CHANDLER HWY,1991-06-11T10:25:00Z,Quality,210,pH,6.9,pH,65,Raw Data,1991-06-11T10:25:00Z,1991,Jun,Tue,10,1990s
229143,YARRA @ CHANDLER HWY,1991-07-03T12:40:00Z,Quality,210,pH,6.1,pH,65,Raw Data,1991-07-03T12:40:00Z,1991,Jul,Wed,12,1990s
229143,YARRA @ CHANDLER HWY,1991-08-06T12:15:00Z,Quality,210,pH,6.7,pH,65,Raw Data,1991-08-06T12:15:00Z,1991,Aug,Tue,12,1990s
229143,YARRA @ CHANDLER HWY,1991-09-05T11:50:00Z,Quality,210,pH,0,pH,180,Raw Data,1991-09-05T11:50:00Z,1991,Sep,Thu,11,1990s
229143,YARRA @ CHANDLER HWY,1991-10-08T11:35:00Z,Quality,210,pH,7.7,pH,65,Raw Data,1991-10-08T11:35:00Z,1991,Oct,Tue,11,1990s
229143,YARRA @ CHANDLER HWY,1991-11-12T13:15:00Z,Quality,210,pH,7.4,pH,65,Raw Data,1991-11-12T13:15:00Z,1991,Nov,Tue,13,1990s
229143,YARRA @ CHANDLER HWY,1991-12-19T12:30:00Z,Quality,210,pH,6.1,pH,65,Raw Data,1991-12-19T12:30:00Z,1991,Dec,Thu,12,1990s
229143,YARRA @ CHANDLER HWY,1992-01-15T10:15:00Z,Quality,210,pH,6.7,pH,65,Raw Data,1992-01-15T10:15:00Z,1992,Jan,Wed,10,1990s
229143,YARRA @ CHANDLER HWY,1992-02-05T12:50:00Z,Quality,210,pH,6.7,pH,65,Raw Data,1992-02-05T12:50:00Z,1992,Feb,Wed,12,1990s
229143,YARRA @ CHANDLER HWY,1992-03-10T09:50:00Z,Quality,210,pH,7,pH,65,Raw Data,1992-03-10T09:50:00Z,1992,Mar,Tue,9,1990s
229143,YARRA @ CHANDLER HWY,1992-04-15T11:40:00Z,Quality,210,pH,5.8,pH,65,Raw Data,1992-04-15T11:40:00Z,1992,Apr,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1992-05-19T09:30:00Z,Quality,210,pH,6.5,pH,65,Raw Data,1992-05-19T09:30:00Z,1992,May,Tue,9,1990s
229143,YARRA @ CHANDLER HWY,1992-06-10T11:00:00Z,Quality,210,pH,6.4,pH,65,Raw Data,1992-06-10T11:00:00Z,1992,Jun,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1992-07-14T11:40:00Z,Quality,210,pH,6.9,pH,65,Raw Data,1992-07-14T11:40:00Z,1992,Jul,Tue,11,1990s
229143,YARRA @ CHANDLER HWY,1992-08-11T10:00:00Z,Quality,210,pH,6.5,pH,65,Raw Data,1992-08-11T10:00:00Z,1992,Aug,Tue,10,1990s
229143,YARRA @ CHANDLER HWY,1992-09-04T09:15:00Z,Quality,210,pH,0,pH,180,Raw Data,1992-09-04T09:15:00Z,1992,Sep,Fri,9,1990s
229143,YARRA @ CHANDLER HWY,1992-10-14T11:00:00Z,Quality,210,pH,7.2,pH,65,Raw Data,1992-10-14T11:00:00Z,1992,Oct,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1992-11-16T08:20:00Z,Quality,210,pH,7.3,pH,65,Raw Data,1992-11-16T08:20:00Z,1992,Nov,Mon,8,1990s
229143,YARRA @ CHANDLER HWY,1992-12-16T10:00:00Z,Quality,210,pH,6.6,pH,65,Raw Data,1992-12-16T10:00:00Z,1992,Dec,Wed,10,1990s
229143,YARRA @ CHANDLER HWY,1993-01-27T10:15:00Z,Quality,210,pH,7,pH,65,Raw Data,1993-01-27T10:15:00Z,1993,Jan,Wed,10,1990s
229143,YARRA @ CHANDLER HWY,1993-02-24T10:00:00Z,Quality,210,pH,6.9,pH,65,Raw Data,1993-02-24T10:00:00Z,1993,Feb,Wed,10,1990s
229143,YARRA @ CHANDLER HWY,1993-03-24T11:30:00Z,Quality,210,pH,7.3,pH,65,Raw Data,1993-03-24T11:30:00Z,1993,Mar,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1993-04-21T11:30:00Z,Quality,210,pH,6.9,pH,65,Raw Data,1993-04-21T11:30:00Z,1993,Apr,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1993-05-13T12:00:00Z,Quality,210,pH,7.1,pH,65,Raw Data,1993-05-13T12:00:00Z,1993,May,Thu,12,1990s
229143,YARRA @ CHANDLER HWY,1993-06-09T12:30:00Z,Quality,210,pH,7.1,pH,65,Raw Data,1993-06-09T12:30:00Z,1993,Jun,Wed,12,1990s
229143,YARRA @ CHANDLER HWY,1993-07-21T11:15:00Z,Quality,210,pH,7.1,pH,65,Raw Data,1993-07-21T11:15:00Z,1993,Jul,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1993-08-12T10:40:00Z,Quality,210,pH,6.4,pH,65,Raw Data,1993-08-12T10:40:00Z,1993,Aug,Thu,10,1990s
229143,YARRA @ CHANDLER HWY,1993-09-21T11:10:00Z,Quality,210,pH,6.7,pH,65,Raw Data,1993-09-21T11:10:00Z,1993,Sep,Tue,11,1990s
229143,YARRA @ CHANDLER HWY,1993-10-21T10:50:00Z,Quality,210,pH,7,pH,65,Raw Data,1993-10-21T10:50:00Z,1993,Oct,Thu,10,1990s
229143,YARRA @ CHANDLER HWY,1993-11-30T09:40:00Z,Quality,210,pH,6.6,pH,65,Raw Data,1993-11-30T09:40:00Z,1993,Nov,Tue,9,1990s
229143,YARRA @ CHANDLER HWY,1993-12-22T13:50:00Z,Quality,210,pH,7.7,pH,65,Raw Data,1993-12-22T13:50:00Z,1993,Dec,Wed,13,1990s
229143,YARRA @ CHANDLER HWY,1994-01-19T11:50:00Z,Quality,210,pH,6.1,pH,65,Raw Data,1994-01-19T11:50:00Z,1994,Jan,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1994-02-16T11:40:00Z,Quality,210,pH,7,pH,65,Raw Data,1994-02-16T11:40:00Z,1994,Feb,Wed,11,1990s
229143,YARRA @ CHANDLER HWY,1994-03-23T11:10:00Z,Quality,210,pH,7.2,pH,65,Raw Data,1994-03-23T11:10:00Z,1994,Mar,Wed,11,1990s
